epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.27,1.46522,3.25741,1.55458,0.19491,0.43769,0.25137,0.19979,0.70156,2.33911,0.73834,0.000237568,0.000237568,0.000237568
2,335.867,1.1404,2.51354,1.38339,0.24716,0.51581,0.34176,0.2987,0.48133,2.01832,0.54919,0.000452027,0.000452027,0.000452027
3,503.451,1.05191,2.28975,1.31454,0.22262,0.54498,0.37045,0.30519,0.65006,2.06784,0.64956,0.000642925,0.000642925,0.000642925
4,673.835,0.99875,2.16979,1.25854,0.2545,0.56269,0.39588,0.3469,0.51361,1.95635,0.59969,0.000607971,0.000607971,0.000607971
5,838.484,0.97133,2.04708,1.24781,0.38192,0.60006,0.46428,0.4088,0.51182,1.86698,0.59864,0.000572628,0.000572628,0.000572628
6,1005.78,0.90718,1.94615,1.18866,0.30673,0.62911,0.47518,0.41873,0.42197,1.62716,0.51164,0.000537285,0.000537285,0.000537285
7,1177.34,0.87953,1.89098,1.17458,0.34395,0.63746,0.52677,0.48991,0.41843,1.53013,0.50149,0.000501942,0.000501942,0.000501942
8,1341.44,0.83893,1.81288,1.14228,0.42779,0.59658,0.54749,0.50543,0.41842,1.54928,0.48736,0.000466599,0.000466599,0.000466599
9,1505.99,0.84801,1.78558,1.15063,0.50666,0.56788,0.56407,0.52508,0.39912,1.52072,0.4807,0.000431256,0.000431256,0.000431256
10,1674.86,0.83216,1.73182,1.13879,0.49569,0.61172,0.58966,0.54355,0.41165,1.36173,0.49953,0.000395913,0.000395913,0.000395913
11,1856.02,0.54401,1.59821,1.03417,0.50107,0.61977,0.6334,0.61034,0.28378,1.5181,0.40773,0.00036057,0.00036057,0.00036057
12,2039.94,0.47418,1.45082,0.99279,0.56869,0.65407,0.65879,0.61514,0.37088,1.3061,0.44089,0.000325227,0.000325227,0.000325227
13,2221.05,0.4513,1.35773,0.99287,0.61338,0.62282,0.66136,0.63783,0.29685,1.25688,0.4255,0.000289884,0.000289884,0.000289884
14,2406.35,0.42782,1.26316,0.9673,0.66948,0.64238,0.71462,0.69208,0.28082,1.25225,0.40502,0.000254541,0.000254541,0.000254541
15,2564.12,0.43153,1.20672,0.977,0.71107,0.64168,0.74545,0.73081,0.24516,1.13952,0.4037,0.000219198,0.000219198,0.000219198
16,2724.46,0.4103,1.14285,0.96387,0.73552,0.66596,0.75914,0.72387,0.33994,1.09871,0.4271,0.000183855,0.000183855,0.000183855
17,2880.98,0.39287,1.06265,0.95459,0.73531,0.65903,0.767,0.71222,0.38239,1.06057,0.44384,0.000148512,0.000148512,0.000148512
18,3039.83,0.38343,1.02221,0.96613,0.76569,0.69123,0.7767,0.73302,0.36386,1.02928,0.44654,0.000113169,0.000113169,0.000113169
19,3192.84,0.36694,0.95809,0.94523,0.76173,0.69082,0.78574,0.75055,0.35258,1.01703,0.42941,7.7826e-05,7.7826e-05,7.7826e-05
20,3345.52,0.35735,0.95036,0.9414,0.8097,0.66249,0.80307,0.76106,0.36379,0.97858,0.43139,4.2483e-05,4.2483e-05,4.2483e-05
